Job ID,Customer,Industry,Shift,Operator ID,Operator Level,Material,Department,Machine,Process Type,Complexity Score,Tool Condition,Rush Order,Machine Downtime,Inspection Type,Outside Process,Outside Process Type,Hardware,Hardware Type,Deburr,Setup Minutes,Cycle Time Seconds,Total Parts,Defect Count,Defect Rate,Thread,Defect Type,Possible Cause,Scrap Cost Per Part,Production Cost
JOB_10029,General_Atomics,Aerospace_Defense,Second 1:30PM to 9:30PM,OP_003,Mid,7075 Aluminum,Mill,YCM_2,High_Precision,9,Worn,No,Yes,Final_Inspection,Yes,Beadblast,No,None,Manually Deburred,118,129.62,45,2,4.8,No,Incorrect_Hole_Size,Incorrect_Tool_Used,29.5,442.51
JOB_10030,Tesla,Automotive,Second 1:30PM to 9:30PM,OP_003,Mid,Steel,Mill,YCM_3,Standard,3,Worn,No,No,Final_Inspection,Yes,Beadblast,No,None,Manually Deburred,43,73.57,1493,28,1.9,Yes,Burrs_In_Part,Careless_Deburring,14.5,4790.99
JOB_10031,General_Atomics,Aerospace_Defense,Second 1:30PM to 9:30PM,OP_006,Senior,7075 Aluminum,Mill,Matsuura_MAM72,Tight_Tolerance,6,Mid_Life,No,No,100%_Inspection,Yes,Gold_Anodize,Yes,Dowel_Pins,Manually Deburred,61,75.54,575,11,1.85,Yes,Out_Of_Tolerance,Improper_Setup,25.0,2179.05
JOB_10032,Tesla,Automotive,Second 1:30PM to 9:30PM,OP_003,Mid,6061 Aluminum,Mill,YCM_2,Tight_Tolerance,8,New,No,No,First_Article,Yes,Clear_Chromate,Yes,Screw,Manually Deburred,87,79.76,178,4,2.45,Yes,Thread_Defect,Programming_Error,21.0,801.1
JOB_10033,General_Atomics,Aerospace_Defense,Second 1:30PM to 9:30PM,OP_004,Mid,303 Stainless Steel,Lathe,Miyano_BND,Tight_Tolerance,6,New,No,No,In_Process,Yes,Clear_Hard_Anodize,No,None,Manually Deburred,63,89.29,805,17,2.15,Yes,Scratches,Operator_Mistake,23.0,2837.05
JOB_10034,General_Atomics,Aerospace_Defense,First 6:00AM-2:30PM,OP_001,Junior,Steel,Mill,Doosan_HC400_II,Standard,3,Worn,Yes,No,In_Process,Yes,Zinc_Plating,Yes,Bolts,Part_Deburred_On_Machine,46,73.96,730,20,2.8,No,Incorrect_Hole_Size,Tool_On_Machine_Broke,14.5,2444.59
JOB_10035,Applied_Materials,Semiconductor,First 6:00AM-2:30PM,OP_004,Mid,6061 Aluminum,Mill,YCM_3,Standard,4,Mid_Life,Yes,No,In_Process,Yes,Beadblast,Yes,Hinge,Part_Deburred_On_Machine,46,78.26,1480,27,1.85,Yes,Damage_To_Surface,Incorrect_Revision_Level,15.0,4866.32
JOB_10036,Medtronic,Medical,First 6:00AM-2:30PM,OP_004,Mid,304 Stainless Steel,Lathe,Big_Wia,Tight_Tolerance,8,Mid_Life,No,No,In_Process,Yes,Heat_Treatment,No,None,Part_Deburred_On_Machine,93,96.47,42,1,2.75,Yes,Burrs_In_Part,Operator_Mistake,27.0,270.44
JOB_10037,Lockheed_Martin,Aerospace_Defense,First 6:00AM-2:30PM,OP_002,Junior,6063 Aluminum,Lathe,Samsung_SL15E,Standard,3,Mid_Life,Yes,No,In_Process,Yes,Electroless_Nickel_Plating,Yes,Dowel_Pins,Manually Deburred,55,80.43,1810,42,2.3,No,Missing_Feature,Operator_Mistake,12.5,5914.91
JOB_10038,General_Atomics,Aerospace_Defense,First 6:00AM-2:30PM,OP_005,Senior,303 Stainless Steel,Mill,YCM_3,Tight_Tolerance,8,Mid_Life,No,Yes,100%_Inspection,No,None,No,None,Part_Deburred_On_Machine,75,99.26,142,4,2.55,No,Damage_To_Surface,Programming_Error,26.0,608.9
JOB_10039,Medtronic,Medical,First 6:00AM-2:30PM,OP_001,Junior,304 Stainless Steel,Lathe,Miyano_BND,Surface_Finish_Critical,7,Mid_Life,No,No,In_Process,Yes,Clear_Hard_Anodize,No,None,Part_Deburred_On_Machine,83,84.73,755,22,2.9,Yes,Material_Cut_Too_Small,Incorrect_Revision_Level,25.5,2621.75
JOB_10040,Tesla,Automotive,Second 1:30PM to 9:30PM,OP_004,Mid,Steel,Lathe,Miyano_BND,Secondary_Operation,5,Mid_Life,Yes,No,Final_Inspection,Yes,Beadblast,No,None,Part_Deburred_On_Machine,67,87.29,1041,24,2.3,Yes,Missing_Feature,Machine_Broke_Down,17.5,3257.34
JOB_10041,Applied_Materials,Semiconductor,Second 1:30PM to 9:30PM,OP_004,Mid,7075 Aluminum,Lathe,Miyano_BND,Tight_Tolerance,8,New,Yes,No,100%_Inspection,No,None,No,None,Part_Deburred_On_Machine,80,118.37,33,1,2.75,Yes,Burrs_In_Part,Operator_Mistake,28.0,224.77
JOB_10042,Applied_Materials,Semiconductor,First 6:00AM-2:30PM,OP_005,Senior,6061 Aluminum,Mill,YCM_2,Standard,3,Mid_Life,No,No,In_Process,No,None,No,None,Manually Deburred,49,47.48,1881,15,0.8,Yes,Damage_To_Surface,Improper_Setup,13.5,3295.22
JOB_10043,Tesla,Automotive,Second 1:30PM to 9:30PM,OP_006,Senior,6061 Aluminum,Lathe,Big_Wia,Standard,4,Mid_Life,No,No,In_Process,Yes,Gold_Anodize,Yes,Fasteners,Part_Deburred_On_Machine,52,72.15,2563,19,0.75,Yes,Thread_Defect,Programming_Error,15.0,6770.38
JOB_10044,Tesla,Automotive,Second 1:30PM to 9:30PM,OP_002,Junior,6061 Aluminum,Lathe,Small_Wia,Tight_Tolerance,7,New,No,No,In_Process,No,None,No,None,Manually Deburred,84,93.97,413,12,3.0,No,Incorrect_Engraving,Careless_Deburring,19.5,1352.99
JOB_10045,Medtronic,Medical,First 6:00AM-2:30PM,OP_006,Senior,7075 Aluminum,Lathe,Miyano_BND,High_Precision,9,New,No,No,100%_Inspection,Yes,Gold_Anodize,Yes,Hinge,Manually Deburred,111,84.91,46,1,2.3,Yes,Thread_Defect,Measurement_Error,29.5,317.2
JOB_10046,Medtronic,Medical,First 6:00AM-2:30PM,OP_006,Senior,6063 Aluminum,Lathe,Miyano_BND,Standard,3,Mid_Life,No,No,Final_Inspection,No,None,Yes,Fasteners,Part_Deburred_On_Machine,36,49.3,2115,11,0.5,No,Material_Cut_Too_Small,Programming_Error,12.5,3137.1
JOB_10047,Tesla,Automotive,Second 1:30PM to 9:30PM,OP_003,Mid,303 Stainless Steel,Mill,YCM_2,Tight_Tolerance,8,Mid_Life,No,No,First_Article,Yes,Grinding,No,None,Part_Deburred_On_Machine,90,111.08,247,6,2.55,No,Incorrect_Depth,Improper_Setup,26.0,1195.43
JOB_10048,Lockheed_Martin,Aerospace_Defense,First 6:00AM-2:30PM,OP_004,Mid,7075 Aluminum,Mill,NFX400A,Secondary_Operation,4,Mid_Life,No,No,First_Article,Yes,Electroless_Nickel_Plating,Yes,Bolts,Part_Deburred_On_Machine,77,90.76,2117,39,1.85,Yes,Incorrect_Engraving,Incorrect_Tool_Used,22.0,7955.55
JOB_10049,General_Atomics,Aerospace_Defense,Second 1:30PM to 9:30PM,OP_001,Junior,303 Stainless Steel,Lathe,Samsung_SL15E,Tight_Tolerance,7,New,No,Yes,100%_Inspection,No,None,Yes,Hinge,Manually Deburred,90,113.52,827,26,3.2,Yes,Thread_Defect,Machine_Broke_Down,24.5,3298.1
JOB_10050,Medtronic,Medical,First 6:00AM-2:30PM,OP_001,Junior,7075 Aluminum,Mill,YCM_3,Standard,4,Worn,No,No,100%_Inspection,Yes,Clear_Chromate,Yes,Hinge,Part_Deburred_On_Machine,68,86.76,514,12,2.25,No,Incorrect_Depth,Tool_On_Machine_Broke,22.0,2011.07
JOB_10051,Applied_Materials,Semiconductor,First 6:00AM-2:30PM,OP_004,Mid,303 Stainless Steel,Lathe,Miyano_BND,Tight_Tolerance,7,New,No,No,In_Process,No,None,Yes,Dowel_Pins,Part_Deburred_On_Machine,81,76.55,1052,22,2.1,Yes,Missing_Feature,Improper_Setup,24.5,2752.17
JOB_10052,Applied_Materials,Semiconductor,Second 1:30PM to 9:30PM,OP_003,Mid,303 Stainless Steel,Lathe,Small_Wia,Secondary_Operation,6,New,No,No,In_Process,Yes,Beadblast,Yes,Hinge,Part_Deburred_On_Machine,82,98.53,968,16,1.65,Yes,Damage_To_Surface,Measurement_Error,23.0,3468.02
JOB_10053,Lockheed_Martin,Aerospace_Defense,Second 1:30PM to 9:30PM,OP_004,Mid,430 Stainless Steel,Lathe,Samsung_SL15E,Standard,3,Worn,No,No,Final_Inspection,Yes,White_Paint,No,None,Part_Deburred_On_Machine,48,42.95,2306,39,1.7,No,Out_Of_Tolerance,Damaged_When_Shipped_To_Customer,17.5,4561.65
JOB_10054,Lockheed_Martin,Aerospace_Defense,First 6:00AM-2:30PM,OP_001,Junior,303 Stainless Steel,Mill,YCM_3,Standard,4,Worn,No,No,In_Process,Yes,Clear_Chromate,Yes,Fasteners,Part_Deburred_On_Machine,65,74.87,2083,49,2.35,Yes,Missing_Feature,Incorrect_Print,20.0,7073.07
JOB_10055,Medtronic,Medical,Second 1:30PM to 9:30PM,OP_003,Mid,6061 Aluminum,Mill,YCM_3,Secondary_Operation,5,Worn,Yes,No,First_Article,Yes,Colored_Hard_Anodize,Yes,Bolts,Manually Deburred,69,74.62,267,9,3.3,Yes,Scratches,Improper_Setup,16.5,1090.56
JOB_10056,Applied_Materials,Semiconductor,First 6:00AM-2:30PM,OP_001,Junior,304 Stainless Steel,Lathe,Miyano_BND,Standard,3,Mid_Life,No,Yes,Final_Inspection,Yes,Colored_Paint,No,None,Part_Deburred_On_Machine,55,70.88,2561,61,2.4,Yes,Incorrect_Hole_Size,Tool_On_Machine_Broke,19.5,7089.39
JOB_10057,Tesla,Automotive,Second 1:30PM to 9:30PM,OP_005,Senior,303 Stainless Steel,Lathe,Samsung_SL15E,Standard,3,Mid_Life,Yes,No,First_Article,No,None,Yes,Fasteners,Manually Deburred,41,75.24,2078,29,1.4,Yes,Thread_Defect,Programming_Error,18.5,5208.48
JOB_10058,Tesla,Automotive,Second 1:30PM to 9:30PM,OP_003,Mid,304 Stainless Steel,Lathe,Big_Wia,Standard,4,Mid_Life,Yes,No,In_Process,No,None,Yes,Hinge,Manually Deburred,55,69.66,1905,43,2.25,Yes,Scratches,Damaged_When_Shipped_To_Customer,21.0,4973.02
JOB_10059,Medtronic,Medical,First 6:00AM-2:30PM,OP_003,Mid,6061 Aluminum,Mill,YCM_2,Secondary_Operation,4,Mid_Life,No,No,100%_Inspection,No,None,Yes,Dowel_Pins,Part_Deburred_On_Machine,66,75.56,681,9,1.35,No,Damage_To_Surface,Material_Defect,15.0,1801.68
JOB_10060,Applied_Materials,Semiconductor,Second 1:30PM to 9:30PM,OP_001,Junior,Steel,Mill,Doosan_HC400_II,Standard,3,New,No,No,First_Article,No,None,Yes,Screw,Manually Deburred,60,62.18,691,10,1.4,No,Burrs_In_Part,Incorrect_Tool_Used,14.5,1753.89
JOB_10061,Tesla,Automotive,First 6:00AM-2:30PM,OP_006,Senior,6061 Aluminum,Lathe,Big_Wia,Standard,2,Mid_Life,No,No,First_Article,Yes,Colored_Hard_Anodize,Yes,Hinge,Manually Deburred,26,64.53,583,4,0.65,No,Damage_To_Surface,Machine_Broke_Down,12.0,1589.14
JOB_10062,Lockheed_Martin,Aerospace_Defense,Second 1:30PM to 9:30PM,OP_001,Junior,Steel,Mill,Matsuura_MAM72,High_Precision,8,Worn,No,Yes,100%_Inspection,Yes,Clear_Hard_Anodize,No,None,Part_Deburred_On_Machine,120,81.49,129,5,4.25,No,Incorrect_Depth,Damaged_When_Shipped_To_Customer,22.0,667.71
JOB_10063,Applied_Materials,Semiconductor,First 6:00AM-2:30PM,OP_005,Senior,7075 Aluminum,Lathe,Small_Wia,Standard,4,Mid_Life,No,No,Final_Inspection,No,None,No,None,Part_Deburred_On_Machine,43,83.93,1722,15,0.85,No,Out_Of_Tolerance,Loaded_Part_On_Wrong_Size,22.0,3771.25
JOB_10064,General_Atomics,Aerospace_Defense,Second 1:30PM to 9:30PM,OP_002,Junior,7075 Aluminum,Lathe,Small_Wia,Surface_Finish_Critical,6,New,No,No,Final_Inspection,Yes,Zinc_Plating,Yes,Hinge,Part_Deburred_On_Machine,83,76.12,302,7,2.35,Yes,Thread_Defect,Incorrect_Tool_Used,25.0,1068.32
JOB_10065,Tesla,Automotive,First 6:00AM-2:30PM,OP_006,Senior,Steel,Mill,YCM_1,Standard,2,Mid_Life,Yes,No,In_Process,Yes,Zinc_Plating,Yes,Dowel_Pins,Part_Deburred_On_Machine,33,72.38,2155,23,1.05,Yes,Burrs_In_Part,Tool_On_Machine_Broke,13.0,6406.86
JOB_10066,Tesla,Automotive,First 6:00AM-2:30PM,OP_006,Senior,Steel,Lathe,Samsung_SL15E,Standard,3,New,No,No,First_Article,Yes,Nickel_Plating,Yes,Screw,Part_Deburred_On_Machine,45,60.19,2778,8,0.3,Yes,Missing_Feature,Part_Lifted_On_Machine,14.5,6391.93
JOB_10067,Tesla,Automotive,First 6:00AM-2:30PM,OP_004,Mid,6063 Aluminum,Mill,YCM_3,High_Precision,8,Worn,No,Yes,Final_Inspection,No,None,Yes,Bolts,Part_Deburred_On_Machine,107,100.2,118,5,4.25,Yes,Out_Of_Tolerance,Loaded_Part_On_Wrong_Size,20.0,616.83
JOB_10068,Lockheed_Martin,Aerospace_Defense,Second 1:30PM to 9:30PM,OP_006,Senior,Steel,Lathe,Small_Wia,Surface_Finish_Critical,5,Mid_Life,No,No,First_Article,No,None,No,None,Part_Deburred_On_Machine,62,67.35,390,6,1.5,No,Damage_To_Surface,Material_Defect,17.5,810.37
JOB_10069,Tesla,Automotive,First 6:00AM-2:30PM,OP_003,Mid,303 Stainless Steel,Lathe,Small_Wia,Standard,4,Mid_Life,No,No,100%_Inspection,Yes,Passivation,No,None,Manually Deburred,52,80.16,1385,16,1.15,Yes,Incorrect_Engraving,Incorrect_Print,20.0,4172.23
JOB_10070,General_Atomics,Aerospace_Defense,Second 1:30PM to 9:30PM,OP_001,Junior,6063 Aluminum,Mill,Doosan_HC400_II,Standard,2,Mid_Life,Yes,No,Final_Inspection,No,None,Yes,Bolts,Manually Deburred,48,71.8,1693,35,2.05,No,Burrs_In_Part,Incorrect_Tool_Used,11.0,4599.91
JOB_10071,General_Atomics,Aerospace_Defense,Second 1:30PM to 9:30PM,OP_001,Junior,Steel,Lathe,Miyano_BND,Standard,3,Mid_Life,Yes,No,First_Article,No,None,Yes,Fasteners,Part_Deburred_On_Machine,52,60.45,1757,37,2.1,No,Material_Cut_Too_Small,Part_Lifted_On_Machine,14.5,3493.17
JOB_10072,Medtronic,Medical,First 6:00AM-2:30PM,OP_004,Mid,7075 Aluminum,Mill,YCM_1,Tight_Tolerance,8,Mid_Life,No,No,In_Process,No,None,Yes,Bolts,Part_Deburred_On_Machine,83,110.47,110,3,2.75,Yes,Burrs_In_Part,Careless_Deburring,28.0,569.09
JOB_10073,Tesla,Automotive,Second 1:30PM to 9:30PM,OP_001,Junior,6063 Aluminum,Lathe,Samsung_SL15E,Surface_Finish_Critical,6,Mid_Life,No,No,In_Process,No,None,No,None,Manually Deburred,76,70.62,1007,28,2.75,No,Incorrect_Hole_Size,Programming_Error,17.0,2510.1
JOB_10074,General_Atomics,Aerospace_Defense,First 6:00AM-2:30PM,OP_003,Mid,304 Stainless Steel,Lathe,Big_Wia,Surface_Finish_Critical,7,Worn,No,No,First_Article,Yes,Grinding,Yes,Bolts,Part_Deburred_On_Machine,82,61.61,99,3,3.2,Yes,Scratches,Tool_On_Machine_Broke,25.5,410.48
JOB_10075,General_Atomics,Aerospace_Defense,First 6:00AM-2:30PM,OP_006,Senior,7075 Aluminum,Mill,YCM_2,Standard,4,Mid_Life,No,No,In_Process,Yes,Electroless_Nickel_Plating,Yes,Dowel_Pins,Manually Deburred,55,85.31,1508,17,1.15,No,Material_Cut_Too_Small,Machine_Broke_Down,22.0,5590.15
JOB_10076,Lockheed_Martin,Aerospace_Defense,Second 1:30PM to 9:30PM,OP_004,Mid,Steel,Lathe,Small_Wia,Standard,3,Worn,No,No,In_Process,No,None,Yes,Screw,Part_Deburred_On_Machine,49,79.02,2776,50,1.8,No,Incorrect_Hole_Size,Programming_Error,14.5,6497.79
JOB_10077,General_Atomics,Aerospace_Defense,First 6:00AM-2:30PM,OP_004,Mid,7075 Aluminum,Mill,YCM_1,Tight_Tolerance,6,New,No,No,Final_Inspection,No,None,Yes,Fasteners,Manually Deburred,70,99.57,616,14,2.25,No,Out_Of_Tolerance,Damaged_When_Shipped_To_Customer,25.0,2418.2
JOB_10078,Tesla,Automotive,First 6:00AM-2:30PM,OP_001,Junior,303 Stainless Steel,Mill,NFX400A,High_Precision,9,New,Yes,No,In_Process,No,None,No,None,Manually Deburred,120,98.05,316,12,3.9,Yes,Thread_Defect,Measurement_Error,27.5,1448.23
JOB_10079,General_Atomics,Aerospace_Defense,First 6:00AM-2:30PM,OP_003,Mid,Steel,Mill,NFX400A,Standard,2,Mid_Life,No,No,In_Process,Yes,White_Paint,Yes,Bolts,Manually Deburred,45,48.89,395,5,1.15,Yes,Thread_Defect,Programming_Error,13.0,1100.11
JOB_10080,Lockheed_Martin,Aerospace_Defense,Second 1:30PM to 9:30PM,OP_004,Mid,430 Stainless Steel,Lathe,Samsung_SL15E,High_Precision,9,Worn,No,No,Final_Inspection,No,None,No,None,Manually Deburred,119,100.28,369,14,3.8,No,Burrs_In_Part,Operator_Mistake,26.5,1481.11
JOB_10081,Tesla,Automotive,Second 1:30PM to 9:30PM,OP_002,Junior,Steel,Mill,Doosan_HC400_II,Standard,4,Mid_Life,No,No,Final_Inspection,Yes,Colored_Paint,Yes,Bolts,Part_Deburred_On_Machine,57,63.56,2576,40,1.55,Yes,Burrs_In_Part,Careless_Deburring,16.0,7369.32
JOB_10082,Lockheed_Martin,Aerospace_Defense,First 6:00AM-2:30PM,OP_003,Mid,304 Stainless Steel,Lathe,Samsung_SL15E,Secondary_Operation,4,Mid_Life,No,No,Final_Inspection,Yes,Heat_Treatment,No,None,Part_Deburred_On_Machine,70,65.55,1775,31,1.75,Yes,Thread_Defect,Incorrect_Tool_Used,21.0,4572.42
